lookback,market_view,denominator,group_type,group_value,date_cells,valid_date_cells,eligible_security_rows,crossing_security_events,close_above_events,close_equal_events,close_below_events,nonindustry_defined_cells,industry_valid_cells,formation_distribution_cells,acceptance_distribution_cells,minimum_eligible_count,minimum_included_industries,minimum_event_industries,minimum_accepted_event_industries
40,SH_A,NON_ST,YEAR,2020,243,243,355531,26459,13682,252,12525,243,243,243,237,1348,83,8,1
40,SH_A,NON_ST,YEAR,2021,243,243,420018,30011,14981,266,14764,243,243,243,243,1610,92,15,7
40,SH_A,NON_ST,YEAR,2022,242,242,466229,24914,11662,237,13015,242,242,241,233,1806,97,4,1
40,SH_A,NON_ST,YEAR,2023,242,242,501525,28628,13524,347,14757,242,242,242,239,1897,97,12,2
40,SZ_A,ALL_STATUS,ALL_YEARS,ALL,1417,1417,3186526,193063,95913,1678,95472,1417,1417,1416,1401,1793,93,4,2
40,SZ_A,ALL_STATUS,YEAR,2018,203,203,382691,12534,5993,89,6452,203,203,202,192,1793,93,4,2
40,SZ_A,ALL_STATUS,YEAR,2019,244,244,489417,36832,19271,333,17228,244,244,244,242,1973,98,9,2
40,SZ_A,ALL_STATUS,YEAR,2020,243,243,509359,40090,20933,321,18836,243,243,243,243,2039,101,11,5
40,SZ_A,ALL_STATUS,YEAR,2021,243,243,557342,37669,18490,297,18882,243,243,243,243,2187,105,19,7
40,SZ_A,ALL_STATUS,YEAR,2022,242,242,601053,31102,14814,250,16038,242,242,242,239,2382,106,9,3
40,SZ_A,ALL_STATUS,YEAR,2023,242,242,646664,34836,16412,388,18036,242,242,242,242,2589,106,14,10
40,SZ_A,NON_ST,ALL_YEARS,ALL,1417,1417,3111338,187426,92621,1571,93234,1417,1417,1416,1398,1774,93,4,2
40,SZ_A,NON_ST,YEAR,2018,203,203,378049,12318,5863,84,6371,203,203,202,189,1774,93,4,2
40,SZ_A,NON_ST,YEAR,2019,244,244,478867,35961,18769,316,16876,244,244,244,242,1937,96,9,2
40,SZ_A,NON_ST,YEAR,2020,243,243,491376,38918,20231,300,18387,243,243,243,243,1980,97,11,5
40,SZ_A,NON_ST,YEAR,2021,243,243,539758,35882,17400,268,18214,243,243,243,243,2108,101,17,6
40,SZ_A,NON_ST,YEAR,2022,242,242,588262,30216,14330,236,15650,242,242,242,239,2330,105,9,3
40,SZ_A,NON_ST,YEAR,2023,242,242,635026,34131,16028,367,17736,242,242,242,242,2543,105,12,8
