trade_date,calendar_year,dispersion_state,candidate_selected,candidate_complete,opposite_selected,opposite_complete,control_complete,candidate_mean_net,candidate_median_net,candidate_positive_rate,candidate_severe_rate,control_mean_net,control_severe_rate,opposite_mean_net,candidate_minus_control,candidate_minus_opposite
2021-01-08,2021,0.90406504065,101,101,101,98,2091,-0.0456051001843,-0.0489897750511,0.19801980198,0.168316831683,-0.024695232986,0.0918220946915,-0.00917802603883,-0.0209098671983,-0.0364270741454
2021-01-11,2021,0.909090909091,101,100,101,99,2096,-0.0310982073602,-0.0417604539657,0.32,0.09,-0.00754636243774,0.0386450381679,-0.00384350626833,-0.0235518449225,-0.0272547010919
2021-01-13,2021,0.92071197411,101,99,101,99,2092,0.0171983374934,0.022101141925,0.646464646465,0.040404040404,0.0180678676729,0.0167304015296,-0.00221829121163,-0.000869530179435,0.0194166287051
2021-01-14,2021,0.983844911147,101,101,101,100,2102,0.0169589802052,0.0100997830803,0.554455445545,0.0693069306931,0.0189354167983,0.011893434824,0.00451662486909,-0.00197643659317,0.0124423553361
2021-01-15,2021,0.83064516129,102,102,102,101,2120,0.0209387654542,0.00328201234228,0.549019607843,0.00980392156863,0.0182823039698,0.00660377358491,0.0419264935812,0.00265646148432,-0.0209877281271
2021-01-18,2021,0.893719806763,102,101,102,101,2114,0.00566641361852,-0.00603114421124,0.425742574257,0.029702970297,0.00909288827534,0.00614947965941,0.0147838255239,-0.00342647465682,-0.00911741190535
2021-01-19,2021,0.966237942122,102,100,102,95,2102,0.0247996521666,0.00228656893889,0.51,0.01,0.00392459311624,0.0152235965747,-0.0159231882675,0.0208750590503,0.0407228404341
2021-01-22,2021,0.9472,101,97,101,97,2089,-0.0356068032439,-0.040109064112,0.185567010309,0.0824742268041,-0.0271476784223,0.0536141694591,-0.00691640290535,-0.00845912482153,-0.0286904003385
2021-01-25,2021,0.905750798722,101,98,101,99,2087,-0.032933783538,-0.0407812761574,0.19387755102,0.0816326530612,-0.0356100417062,0.0943938667944,-0.0350097418826,0.00267625816818,0.00207595834464
2021-01-26,2021,0.93620414673,102,99,102,97,2092,-0.0455117436157,-0.0491671183378,0.181818181818,0.161616161616,-0.0372165110516,0.0889101338432,-0.039917503422,-0.00829523256413,-0.00559424019371
2021-01-28,2021,0.912559618442,102,100,102,99,2077,-0.001770909063,-0.0100705680565,0.44,0.04,-0.0065243130612,0.0471834376505,-0.0174448304702,0.0047534039982,0.0156739214072
2021-01-29,2021,0.852380952381,102,100,102,99,2062,-0.0225369793404,-0.027735410943,0.35,0.09,-0.00611988981862,0.0436469447139,0.0149644720891,-0.0164170895218,-0.0375014514295
2021-02-01,2021,0.851030110935,101,98,101,100,2041,-0.0471361470989,-0.0514371423428,0.234693877551,0.19387755102,-0.0303420681293,0.077413032827,0.00110248944607,-0.0167940789696,-0.048238636545
2021-02-03,2021,0.862559241706,100,94,100,95,1964,-0.0481858673909,-0.0492504451999,0.18085106383,0.202127659574,-0.0347649812721,0.0997963340122,-0.0284692016352,-0.0134208861188,-0.0197166657557
2021-02-04,2021,0.828075709779,100,92,100,96,1948,-0.0093269139407,-0.0160648268768,0.336956521739,0.0434782608696,0.00592673595606,0.0154004106776,-0.0062869405702,-0.0152536498968,-0.0030399733705
2021-02-05,2021,0.974803149606,97,96,97,92,1928,0.0296098025912,0.0286499760674,0.677083333333,0.0208333333333,0.0329721858882,0.00726141078838,0.0159283792808,-0.00336238329704,0.0136814233104
2021-02-08,2021,0.834905660377,96,90,96,94,1897,0.0551169299734,0.0611424091978,0.888888888889,0.0333333333333,0.0513969355249,0.00369003690037,0.0511885664972,0.00371999444849,0.00392836347622
2021-02-09,2021,0.822605965463,96,94,96,91,1880,0.0442471957688,0.0476366205727,0.797872340426,0,0.0512173375933,0.00797872340426,0.0378273515007,-0.00697014182448,0.00641984426809
2021-02-18,2021,0.945226917058,95,95,95,92,1879,-0.0102885806129,-0.0115342465753,0.442105263158,0.105263157895,0.0164377976304,0.03618946248,0.0363046675704,-0.0267263782433,-0.0465932481833
2021-02-22,2021,0.959438377535,97,97,97,97,1891,-0.0358506667012,-0.048976635514,0.226804123711,0.0721649484536,-0.0226311141923,0.0428344791116,-0.0226416007551,-0.013219552509,-0.0132090659462
2021-02-24,2021,0.898911353033,100,98,100,99,1947,-0.00137305873734,-0.00640807119656,0.428571428571,0,0.00333516143808,0.00924499229584,0.00790944521273,-0.00470822017542,-0.00928250395007
2021-02-26,2021,0.93488372093,99,97,99,96,1926,0.042051573232,0.0313649360421,0.773195876289,0,0.0302929950385,0.000519210799585,0.0315642647972,0.0117585781935,0.0104873084348
2021-03-04,2021,0.842835130971,97,97,97,96,1951,-0.0628531697081,-0.0652597066437,0.113402061856,0.247422680412,-0.0465520017859,0.149666837519,-0.0503557395313,-0.0163011679222,-0.0124974301768
2021-03-09,2021,0.963190184049,100,98,100,100,2009,0.0195585389097,0.0124447293623,0.602040816327,0.030612244898,0.0119008527364,0.00895968143355,-0.0078837223556,0.00765768617333,0.0274422612653
2021-03-12,2021,0.893129770992,101,99,101,100,2035,0.0109665065365,0.00408080808081,0.575757575758,0,0.00554821568411,0.00884520884521,0.00172467426032,0.00541829085236,0.00924183227615
2021-03-15,2021,0.934451219512,102,101,102,100,2061,0.0263110375882,0.0254573643411,0.70297029703,0.019801980198,0.0136709949934,0.00339640950995,0.00631175587402,0.0126400425949,0.0199992817142
2021-03-16,2021,0.850837138508,103,101,103,101,2075,-0.0010728732769,-0.00684090909091,0.39603960396,0.00990099009901,-0.00411197850976,0.00963855421687,-0.00842554647792,0.00303910523286,0.00735267320102
2021-03-23,2021,0.876132930514,101,98,101,97,2069,-0.00534557265683,-0.0113853162292,0.418367346939,0.0102040816327,-0.00289470942182,0.0125664572257,-0.00120654123267,-0.002450863235,-0.00413903142415
2021-03-24,2021,0.825037707391,99,99,99,98,2074,0.0261698465468,0.0182804718218,0.686868686869,0.020202020202,0.0127197842345,0.00964320154291,0.00176624489726,0.0134500623124,0.0244036016496
2021-03-29,2021,0.834834834835,102,98,102,101,2082,-0.011876014333,-0.0147117571514,0.34693877551,0.0510204081633,-0.00499812975721,0.014409221902,0.000360844672959,-0.00687788457576,-0.0122368590059
2021-03-30,2021,0.940029985007,104,99,104,101,2070,-0.00924858715987,-0.010993006993,0.333333333333,0.040404040404,0.00156816418753,0.0130434782609,-0.00538774474098,-0.0108167513474,-0.0038608424189
2021-04-12,2021,0.924444444444,101,101,101,100,2034,-0.00957658730228,-0.0113170731707,0.376237623762,0.029702970297,-0.00581709565189,0.0294985250737,-0.02259965,-0.00375949165039,0.0130230626978
2021-05-06,2021,0.85652173913,104,101,104,102,2108,-0.0135199654738,-0.0181364474493,0.29702970297,0.019801980198,-0.00268819187982,0.0279886148008,0.0310221101732,-0.010831773594,-0.0445420756471
2021-05-07,2021,0.917510853835,105,103,105,101,2103,0.019383042518,0.00240600839408,0.553398058252,0.00970873786408,0.016316557787,0.0076081787922,0.0329565809577,0.00306648473106,-0.0135735384397
2021-05-17,2021,0.824964131994,105,99,105,100,2078,-9.72607540415e-05,-0.00794788787998,0.474747474747,0.0505050505051,-0.00119698312665,0.0101058710298,0.00736646963301,0.0010997223726,-0.00746373038705
2021-05-31,2021,0.845827439887,101,98,101,100,2073,-0.0133614871089,-0.0146960551095,0.34693877551,0.0204081632653,-0.0120861340028,0.0279787747226,-0.00256101998494,-0.00127535310607,-0.010800467124
2021-06-02,2021,0.863187588152,100,98,100,97,2107,0.00989122997139,0.000568831229827,0.510204081633,0.030612244898,0.00541520338522,0.0142382534409,0.00759019917834,0.00447602658617,0.00230103079305
