audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,CROSSER_DOWNSIDE,phase,2,SH_A,ALL_STATUS,pit,5,165,-0.36891315866107044,,,
partial_rank,CROSSER_DOWNSIDE,phase,2,SH_A,NON_ST,pit,3,276,-0.39309405340587661,,,
partial_rank,CROSSER_DOWNSIDE,phase,2,SH_A,NON_ST,pit,5,165,-0.37567735759807142,,,
partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,ALL_STATUS,pit,3,276,-0.36051655135313049,,,
partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,ALL_STATUS,pit,5,165,-0.28290647716114187,,,
partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,NON_ST,pit,3,276,-0.36509189805050829,,,
partial_rank,CROSSER_DOWNSIDE,phase,2,SZ_A,NON_ST,pit,5,165,-0.27125559404529159,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,ALL_A,ALL_STATUS,pit,5,166,-0.34364990378327481,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,ALL_A,NON_ST,pit,5,166,-0.34215606452992769,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,CHINEXT_BOARD,ALL_STATUS,pit,5,166,-0.33884335357345685,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,CHINEXT_BOARD,NON_ST,pit,5,166,-0.34032155643997214,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,SH_A,ALL_STATUS,pit,5,166,-0.2974860851072702,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,SH_A,NON_ST,pit,5,166,-0.3007620307058419,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,SZ_A,ALL_STATUS,pit,5,166,-0.35749202525951956,,,
partial_rank,CROSSER_DOWNSIDE,phase,3,SZ_A,NON_ST,pit,5,166,-0.35353257063275489,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,ALL_A,ALL_STATUS,pit,5,166,-0.41930136954668229,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,ALL_A,NON_ST,pit,5,166,-0.42651339540862704,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,CHINEXT_BOARD,ALL_STATUS,pit,5,166,-0.36239611121724585,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,CHINEXT_BOARD,NON_ST,pit,5,166,-0.35845499814632148,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,SH_A,ALL_STATUS,pit,5,166,-0.39686373265689717,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,SH_A,NON_ST,pit,5,166,-0.39791876909237156,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,SZ_A,ALL_STATUS,pit,5,166,-0.38787571144263788,,,
partial_rank,CROSSER_DOWNSIDE,phase,4,SZ_A,NON_ST,pit,5,166,-0.3964656649958978,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,ALL_A,ALL_STATUS,pit,3,107,-0.30456215789572127,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,ALL_A,NON_ST,pit,3,107,-0.3142635024394988,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,107,-0.15006695947050547,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,CHINEXT_BOARD,NON_ST,pit,3,107,-0.14676000257212515,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,SH_A,ALL_STATUS,pit,3,107,-0.2055749601432813,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,SH_A,NON_ST,pit,3,107,-0.21403798209598901,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,SZ_A,ALL_STATUS,pit,3,107,-0.28015996354770684,,,
partial_rank,CROSSER_DOWNSIDE,year,2020,SZ_A,NON_ST,pit,3,107,-0.26864770824525702,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,ALL_A,ALL_STATUS,pit,3,243,-0.253865900753869,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,ALL_A,NON_ST,pit,3,243,-0.26124207553509238,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,242,-0.13795985160516894,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,CHINEXT_BOARD,NON_ST,pit,3,243,-0.12879877485102711,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,SH_A,ALL_STATUS,pit,3,243,-0.34455598732172871,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,SH_A,NON_ST,pit,3,243,-0.35545278252697804,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,SZ_A,ALL_STATUS,pit,3,243,-0.15890413893454419,,,
partial_rank,CROSSER_DOWNSIDE,year,2021,SZ_A,NON_ST,pit,3,243,-0.17246612674564238,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,ALL_A,ALL_STATUS,pit,3,242,-0.39359559125702154,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,ALL_A,NON_ST,pit,3,242,-0.40403839058748497,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,242,-0.33384617860526916,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,CHINEXT_BOARD,NON_ST,pit,3,242,-0.33011268739876293,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,SH_A,ALL_STATUS,pit,3,242,-0.35875519644631865,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,SH_A,NON_ST,pit,3,242,-0.36508691530563619,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,SZ_A,ALL_STATUS,pit,3,242,-0.37031074619100329,,,
partial_rank,CROSSER_DOWNSIDE,year,2022,SZ_A,NON_ST,pit,3,242,-0.37732018879350709,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,ALL_A,ALL_STATUS,pit,3,237,-0.63217045453307152,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,ALL_A,NON_ST,pit,3,237,-0.62273323954880544,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,237,-0.527128641363932,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,CHINEXT_BOARD,NON_ST,pit,3,237,-0.52079011763147798,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,SH_A,ALL_STATUS,pit,3,237,-0.62251298804197097,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,SH_A,NON_ST,pit,3,237,-0.63347129927152857,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,SZ_A,ALL_STATUS,pit,3,237,-0.55733887944915639,,,
partial_rank,CROSSER_DOWNSIDE,year,2023,SZ_A,NON_ST,pit,3,237,-0.53996293185044797,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,ALL_A,ALL_STATUS,pit,3,107,-0.21927725285162816,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,ALL_A,NON_ST,pit,3,107,-0.23185434226711235,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,CHINEXT_BOARD,ALL_STATUS,pit,3,107,-0.14833642966724411,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,CHINEXT_BOARD,NON_ST,pit,3,107,-0.13910590330582012,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,SH_A,ALL_STATUS,pit,3,107,-0.1047479068079651,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,SH_A,NON_ST,pit,3,107,-0.12230110831339938,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,SZ_A,ALL_STATUS,pit,3,107,-0.25165674805578658,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,A,SZ_A,NON_ST,pit,3,107,-0.22405184957747568,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,ALL_A,ALL_STATUS,pit,3,722,-0.50086195280650381,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,ALL_A,NON_ST,pit,3,722,-0.50813669623403079,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,721,-0.39627530123521548,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,CHINEXT_BOARD,NON_ST,pit,3,722,-0.39071319005531174,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,SH_A,ALL_STATUS,pit,3,722,-0.50748559252416525,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,SH_A,NON_ST,pit,3,722,-0.51600642537718489,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,SZ_A,ALL_STATUS,pit,3,722,-0.46416199461020258,,,
partial_rank,CROSSER_MINUS_NONCROSSER,block,B,SZ_A,NON_ST,pit,3,722,-0.46441357378495418,,,
partial_rank,CROSSER_MINUS_NONCROSSER,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,829,-0.41267410761540435,,,
partial_rank,CROSSER_MINUS_NONCROSSER,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,829,-0.4824077975856112,,,
partial_rank,CROSSER_MINUS_NONCROSSER,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,5,829,-0.48965547998587255,,,
