family,track,trade_date,cal_idx,decision_at,available_at,symbol,industry,signal_score,signal_rank,candidate_count,avg_amount20,natural_horizon,rebalance_sessions,entry_status,status_h5,status_h20,status_h120,gross_return_h5,net_return_h5,adverse_excursion_h5,entry_amount_h5,gross_return_h20,net_return_h20,adverse_excursion_h20,entry_amount_h20
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,000839.SZ,通信服务,0.6250508685802795,10,1145,114926292.42750001,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.05309734513274322,-0.05687739565117533,-0.07300884955752196,175806014.78,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002193.SZ,服装家纺,0.6244437396769998,11,1145,51482982.289000005,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.02329192546583836,0.019206927759388037,-0.02406832298136652,13212578.35,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002313.SZ,通信设备,0.6206710375419012,12,1145,61428637.5495,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.0905908096280088,-0.09422118563747783,-0.11159737417943105,79131399.52,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,600499.SH,专用设备,0.6175836412021296,13,1145,77553228.15,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.017513134851138368,0.013451206169097896,-0.028021015761821366,156669406.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002132.SZ,通用设备,0.6106015643515662,14,1145,62365395.2245,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.006688963210702337,-0.010654276730819312,-0.02006688963210701,13838407.39,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,600022.SH,普钢,0.610449735449736,15,1145,93805668.6,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.03260869565217395,-0.03647053718649651,-0.05434782608695654,132705229.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,600273.SH,化学制品,0.6079969084913274,16,1145,155736301.95,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.1122244488977957,-0.11576846307385236,-0.18336673346693388,188908875.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,600388.SH,环保设备Ⅱ,0.6058548192876085,17,1145,80538776.1,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.022346368715083775,-0.02624917762240897,-0.056797020484171235,39847552.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002215.SZ,农化制品,0.6036083229593558,18,1145,85394326.8055,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.02682926829268284,-0.030714181393310835,-0.0585365853658536,154713751.14,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,603899.SH,文娱用品,0.5993099505649674,19,1145,79332071.7,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.014335775724753086,-0.018270563047209087,-0.056068811723478884,30683511.0,,,,
close_location_persistence_20,track_c,2018-08-28,160,2018-08-28 15:30:00,2018-08-28 15:00:00,002700.SZ,燃气Ⅱ,0.5979132319069029,20,1145,264657368.3235,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.010526315789473717,0.006492278600693346,-0.062105263157894774,125116619.93,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,002030.SZ,医疗器械,0.7809953703121691,1,1021,86905539.48550001,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,0.013661202185792254,0.009614650480459952,-0.02677595628415308,65374332.94,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,000656.SZ,房地产开发,0.7100714442562267,2,1021,62479554.779999994,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.06641366223908918,-0.0701405538069968,-0.07969639468690703,47437703.0,,,,
close_location_persistence_20,track_c,2018-09-26,180,2018-09-26 15:30:00,2018-09-26 15:00:00,002098.SZ,纺织制造,0.7068768668751788,3,1021,74023662.348,5,20,EXECUTABLE,COMPLETE,INCOMPLETE,INCOMPLETE,-0.1357142857142858,-0.1391645280866839,-0.15357142857142858,258741223.03,,,,
