scope,market_view,denominator,predictor,response,estimator,estimate,observations
h3_phase_1,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.119183185536,270
h3_phase_1,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.21009573645,270
h3_phase_1,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.223474429736,270
h3_phase_2,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.31974481024,270
h3_phase_2,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.315989218633,270
h3_phase_2,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.332046073322,270
h3_phase_2,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.327342840737,270
h3_phase_2,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.318579088161,270
h3_phase_2,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.305474091787,270
h3_phase_2,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.339518770357,270
h3_phase_2,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h3,partial_spearman,0.332487327416,270
h5,ALL_A,ALL_STATUS,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.437105413174,1332
h5,ALL_A,NON_ST,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.445962181958,1332
h5,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.384173134274,1332
h5,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.383214100071,1332
h5,SH_A,ALL_STATUS,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.503401319525,1332
h5,SH_A,NON_ST,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.506274293308,1332
h5,SZ_A,ALL_STATUS,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.414222974185,1332
h5,SZ_A,NON_ST,industry_return_dispersion_iqr,opportunity_spread_h5,spearman,0.417887199682,1332
h5,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.167966697866,810
h5,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.160711059874,810
h5,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.252127061142,809
h5,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.243765318236,810
h5,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.179581625804,810
h5,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.17592936538,810
h5,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.179325176936,810
h5,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.181629107035,810
h5,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.451879071838,829
h5,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.453697712469,829
h5,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.495270120528,829
h5,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.491418403509,829
h5,SH_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.489871455643,829
h5,SH_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.487639035145,829
h5,SZ_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.457700516935,829
h5,SZ_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,spearman,0.455860554657,829
h5_phase_0,ALL_A,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.311006739278,162
h5_phase_0,ALL_A,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.307921437019,162
h5_phase_0,CHINEXT_BOARD,ALL_STATUS,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.225030023657,162
h5_phase_0,CHINEXT_BOARD,NON_ST,industry_return_dispersion_iqr_pit_3y_pct,opportunity_spread_h5,partial_spearman,0.229341943664,162
