audit_id,cohort,market_view,symbol,source_symbol,trade_date,target_year,market_sequence_rank,relative_day,action_selection_rank,daily_raw_close,minute_raw_close,binary_close_equal,daily_close_integer_cents,minute_close_integer_cents,integer_cent_difference,raw_close_signed_difference,raw_close_absolute_difference,coordinate_scale,coordinate_close,mapped_minute_close,support_low10,support_low20,support_low40,primary_level_tested,primary_penetration_depth,primary_close_below_fraction,primary_minimum_bar_index,primary_close_recovery_from_minimum,up_limit_contact,down_limit_contact,corporate_action_count,rights_ratio,corporate_action_blocking,daily_snapshot_id,descriptor_available_at
MARKET|2018|ALL_A|01|603037.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-08,2018,1,-5,,25.399999999999999,25.409999847412109,False,2540,2541,1,0.0099998474121107961,0.0099998474121107961,0.037579857196542638,0.95452837279218294,0.95490416562991731,0.95527996993611397,0.95527996993611397,0.89590379556557687,True,0.012588497975227255,0.79668049792531115,19,0.0121951009418719,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-08T15:30:00+08:00
MARKET|2018|ALL_A|01|603037.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-11,2018,1,-4,,25.600000000000001,25.610000610351562,False,2560,2561,1,0.010000610351561079,0.010000610351561079,0.037579857196542638,0.96204434423149165,0.96242016574038147,0.94325441563322021,0.94325441563322021,0.89590379556557687,False,0,0,3,0.017928317248583729,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-11T15:30:00+08:00
MARKET|2018|ALL_A|01|603037.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-12,2018,1,-3,,26.109999999999999,26.120000839233398,False,2611,2612,1,0.010000839233399006,0.010000839233399006,0.037579857196542638,0.98121007140172822,0.98158590151196501,0.94325441563322021,0.94325441563322021,0.89590379556557687,False,0,0,48,0.032669386540751112,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-12T15:30:00+08:00
MARKET|2018|ALL_A|01|603037.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-13,2018,1,-2,,25.34,25.309999465942383,False,2534,2531,-3,-0.030000534057617045,0.030000534057617045,0.037579857196542638,0.95227358136039042,0.95114616557468512,0.94325441563322021,0.94325441563322021,0.89590379556557687,False,0,0,237,0.0011951704899152711,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-13T15:30:00+08:00
MARKET|2018|ALL_A|01|603037.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,603037.SH,603037,2018-06-14,2018,1,-1,,25.359999999999999,25.370000839233398,False,2536,2537,1,0.010000839233399006,0.010000839233399006,0.037579857196542638,0.95302517850432122,0.95340100861455801,0.94325441563322021,0.94325441563322021,0.89590379556557687,False,0,0,1,0.0095618198592349185,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-14T15:30:00+08:00
MARKET|2018|ALL_A|02|600673.SH|2018-06-08,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-08,2018,2,-5,,11.27,11.300000190734863,False,1127,1130,3,0.030000190734863708,0.030000190734863708,0.14727540500736383,1.6597938144329905,1.6642121046737655,1.3755522827687783,1.3637702503681894,1.2562592047128138,False,0,0,30,0.045356379729367742,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-08T15:30:00+08:00
MARKET|2018|ALL_A|02|600673.SH|2018-06-11,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-11,2018,2,-4,,11.94,11.920000076293945,False,1194,1192,-2,-0.01999992370605419,0.01999992370605419,0.14727540500736386,1.7584683357879243,1.755522838923999,1.4462444771723133,1.3637702503681894,1.2562592047128138,False,0,0,2,0.093952471442665497,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-11T15:30:00+08:00
MARKET|2018|ALL_A|02|600673.SH|2018-06-12,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-12,2018,2,-3,,11.720000000000001,11.720000267028809,False,1172,1172,0,2.6702880795426154e-07,2.6702880795426154e-07,0.14727540500736386,1.7260677466863044,1.7260677860130804,1.4462444771723133,1.3637702503681894,1.2562592047128138,False,0,0,56,0.012958950924306984,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-12T15:30:00+08:00
MARKET|2018|ALL_A|02|600673.SH|2018-06-13,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-13,2018,2,-2,,11.140000000000001,11.149999618530273,False,1114,1115,1,0.0099996185302728691,0.0099996185302728691,0.14727540500736383,1.6406480117820332,1.6421207096509982,1.4462444771723133,1.3637702503681894,1.2562592047128138,False,0,0,85,0.0064794239678598693,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-13T15:30:00+08:00
MARKET|2018|ALL_A|02|600673.SH|2018-06-14,COORDINATE_ELIGIBLE_MARKET_SEQUENCE,ALL_A,600673.SH,600673,2018-06-14,2018,2,-1,,11.02,11.039999961853027,False,1102,1104,2,0.01999996185302777,0.01999996185302777,0.14727540500736383,1.6229749631811494,1.6259204656631858,1.5066273932253325,1.3637702503681894,1.2562592047128138,False,0,0,3,0.0097192389403769688,False,False,0,0,False,PITB-80B916173F29877FD683,2018-06-14T15:30:00+08:00
